Country/area,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Algeria,Total renewable energy,Electricity generation (GWh),54,69,57.4,265.2,251.1,555.261,217.57,226.08,282.715,342,172.88,481.339,582.633,291.017,391.333,326.507,430.5,635.111,782.185,841.735
Angola,Total renewable energy,Electricity generation (GWh),900.29,1010.322,1130.519,1230.925,1730.932,2201.172,2541.394,2883.986,3188.942,3343.127,3695.668,4053.875,3853.466,3653.89,5092.914,5100.199,6459.397,9062.444,11541.193,12780.568
Benin,Total renewable energy,Electricity generation (GWh),1.634,1.569,1.519,1.694,1.489,0.752,0,0,0.362,0.241,0,0,0.348,0,0.495,6.46,5.337,5.409,5.409,5.41
Botswana,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0.238,0.289,1.092,2.376,2.891,3.326,5.238,5.446,6.319,6.27
Burkina Faso,Total renewable energy,Electricity generation (GWh),99.068,54.582,64.555,96.992,103.259,102.373,82.568,114.017,139.632,137.197,123.338,91.349,106.046,115.793,101.923,106.762,155.985,158.08,190.539,209.157
Burundi,Total renewable energy,Electricity generation (GWh),102.741,116.595,128.698,104.162,94.604,102.458,158.511,203.521,218.328,206.987,234.566,247.052,259.218,259.952,250.844,246.752,284.949,273.221,254.049,254.049
Cabo Verde,Total renewable energy,Electricity generation (GWh),4.549,3.749,5.662,5.366,6.43,6.45,7.441,6.869,5.51,4.661,4.097,24.561,70.494,83.259,89.207,85.021,82.569,74.928,89.352,82.78
Cameroon,Total renewable energy,Electricity generation (GWh),3442,3474,3182,3528.137,3920.137,3772.137,3892.137,3847.275,4232.275,4016.687,4261.374,4388.718,4259.897,4377.626,4380.374,4382.848,4385.046,5105.833,5109.4,5109.4
Cent Afr Rep,Total renewable energy,Electricity generation (GWh),85.3,84.3,84.3,85.3,126.3,135.442,141.442,138.442,126.442,139.442,140.442,141.584,141.726,141.726,141.726,141.726,136.026,136.026,136.026,136.026
Chad,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0.004,0.004,0.005,0.084,0.084,0.288,9.189,9.189,9.218,9.218
Comoros,Total renewable energy,Electricity generation (GWh),0,0,3,4,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0
Congo DR,Total renewable energy,Electricity generation (GWh),6225.413,6214.148,6355.615,6221.724,7160.658,7475.172,7511.943,7879.269,7529.487,7940.268,7811.583,7481.037,7861.562,8679.427,9074.044,9168.45,9232.852,9814.311,9847.628,9883.403
Congo Rep,Total renewable energy,Electricity generation (GWh),58,334.45,396.33,342.03,329.63,355.37,372.3,334.6,375.3,329.6,429.8,790.928,987.328,954.156,1038.356,1098.776,1132.476,1203.614,1046.902,1046.902
Cote d Ivoire,Total renewable energy,Electricity generation (GWh),1764,1800,1729,1832.1,1748.1,1433.1,1510.2,1797.2,1898.2,2131.5,1619.5,1775.9,1791.1,1608.07,1916.6,1356.4,1534.2,2054,2968.8,3492.1
Djibouti,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6
Egypt,Total renewable energy,Electricity generation (GWh),14104.609,15633.595,13405.668,13411.242,13733.742,13516.279,13832.46,13914.086,16700.241,15954.152,14373.703,15114.198,15325.026,14734.362,15156.974,15638.391,16160.085,15972.514,15941.8,17968.608
Eq Guinea,Total renewable energy,Electricity generation (GWh),7,7,7,7,7,7,7,7,7,7,7,7,67,127,127,127,127,127,127,127
Eritrea,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0.203,2.003,2.003,2.008,2.009,2.043,2.066,17.034,17.034,17.704,21.53,35.877,40.181
Eswatini,Total renewable energy,Electricity generation (GWh),278.587,297.185,305.895,317.872,328.035,317.553,341.65,370.352,353.586,396.63,414.871,458.383,459.183,423.595,461.255,428.926,338.177,307.308,375.278,411.278
Ethiopia,Total renewable energy,Electricity generation (GWh),1720.848,2062.079,2078.033,2334.469,2573.967,2890.322,3318.848,3427.639,3310.975,3556.167,4975.164,6330.139,7604.35,8732.634,7395.79,9563.462,10509,12580.114,13259.114,14552.808
Gabon,Total renewable energy,Electricity generation (GWh),1172.788,1172.876,1236.375,1249.657,788.662,804.23,862.936,899.336,966.86,947.031,909.987,842.908,910.988,938.621,796.855,922.22,825.527,918.527,985.527,985.527
Gambia,Total renewable energy,Electricity generation (GWh),0,0.019,0.108,0.334,0.627,1.03,1.16,1.863,2.245,2.692,3.125,3.604,3.273,3.331,3.457,3.552,3.568,3.572,3.572,3.572
Ghana,Total renewable energy,Electricity generation (GWh),6622.5,6622.5,5049.5,3899.5,5294.5,5642.5,5628.6,3736.6,6210.8,6892.8,7011.8,7576.8,8086.8,8252.493,8413.603,5877.546,5620.605,5683.558,6105.581,7369.392
Guinea,Total renewable energy,Electricity generation (GWh),511,552,595,400,555,459.869,459.869,459.869,494.589,463.047,148.848,141.958,245.721,159.132,440.674,907.967,1114.367,1241.548,1211.617,1309.617
Guinea Bissau,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504,0.504,0.504,1.889,1.889
Kenya,Total renewable energy,Electricity generation (GWh),2364.43,2394.571,3285.682,3861.431,4069.145,4062.933,4300.699,4572.498,4440.141,3923.187,4403.643,5136.767,5722.156,6291.729,7084.305,8338.57,8567.313,8409.509,8919.052,9332.93
Lesotho,Total renewable energy,Electricity generation (GWh),367.131,371.004,397.745,408.041,403.858,457.224,481.616,507.347,503.383,505.297,500.58,468.461,494.169,474.268,504.69,517.544,521.385,516.637,518.312,503.112
Liberia,Total renewable energy,Electricity generation (GWh),21,21,21,21,21,21,21,21,21,21,21.007,21.007,21.056,21.056,21.056,21.081,21.083,127.376,127.624,127.624
Libya,Total renewable energy,Electricity generation (GWh),0,0,0,0.318,1.113,1.908,2.703,3.498,4.293,5.088,5.883,6.678,7.791,7.791,7.791,7.791,7.791,7.791,7.791,7.791
Madagascar,Total renewable energy,Electricity generation (GWh),539.649,563.975,535.415,611.685,637.176,648.077,638.442,719.815,701.079,742.637,714.261,694.519,715.407,736.27,820.749,951.504,906.708,807.386,1023.588,938.677
Malawi,Total renewable energy,Electricity generation (GWh),1072.001,1096.665,1150.658,1223.622,1301.766,1364.939,1398.421,1426.956,1667.83,1812.805,1890.992,1932.682,1928.818,1923.984,2033.592,2031.911,2020.338,1915.169,1457.103,1458.223
Mali,Total renewable energy,Electricity generation (GWh),245.141,360.419,788.88,1082.835,1022.491,1027.582,1020.287,1059.329,1093.865,1036.802,1074.51,1126.999,1236.868,1467.443,1524.412,1556.431,1673.856,1733.401,1733.401,1733.474
Mauritania,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,39.136,43.378,130.33,163.087,165.143,252.223,282.986
Mauritius,Total renewable energy,Electricity generation (GWh),525.743,548.065,537.735,566.601,592.275,568.194,522.795,552.178,594.807,608.942,577.316,548.942,566.833,593.961,596.16,680.6,663.5,623.7,648.7,701.8
