"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",5.87751,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",6.126772,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",6.17223,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",5.984126,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",5.796098,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",5.694145,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",5.641004,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",5.6738,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",5.611884,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",4.432586,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",5.289132,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",5.448574,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2012",5.48915,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2013",6.012387,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2014",6.249113,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",6.322334,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",6.55394,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",6.971478,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",7.075796,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",22.98039,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",22.02924,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",21.26571,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",18.72472,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",19.65516,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",21.11653,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",22.42847,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",24.62348,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",25.46452,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",28.25937,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",27.42462,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",26.95634,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2012",30.63691,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2013",30.1824,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2014",30.76179,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",29.88583,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",30.40833,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",29.85017,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",29.33455,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",1.098996,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",1.220781,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",1.276603,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",1.489563,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",1.654223,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",1.990461,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",2.379168,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",2.828143,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",3.294523,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",4.078403,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",4.734123,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",5.57213,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2012",6.289955,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2013",6.281821,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2014",6.484473,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",7.006345,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",7.036478,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",7.321926,
"BEL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",7.79338,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",17.5757,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",16.59034,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",17.60575,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",16.22274,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",16.3354,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",16.66022,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",15.94363,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",16.56122,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",17.00167,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",17.32981,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",16.91567,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",17.46749,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2012",17.57927,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2013",18.0608,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2014",17.57282,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",17.5777,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",17.20209,
"CAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2017",17.1655,
