Region,Country,Group Technology,Technology,Electricity Generation (GWh)
Africa,Algeria,Hydropower (excl. Pumped Storage),Renewable hydropower,117
Africa,Algeria,Solar energy,Concentrated solar power,133.11
Africa,Algeria,Solar energy,Off-grid Solar photovoltaic,373.6
Africa,Algeria,Wind energy,Onshore wind energy,159.9
Africa,Angola,Bioenergy,Solid biofuels,200
Africa,Angola,Hydropower (excl. Pumped Storage),Renewable hydropower,25.718
Africa,Angola,Hydropower (excl. Pumped Storage),Renewable hydropower,7653.016
Africa,Angola,Solar energy,Off-grid Solar photovoltaic,18.271
Africa,Benin,Hydropower (excl. Pumped Storage),Renewable hydropower,0.072
Africa,Benin,Solar energy,Off-grid Solar photovoltaic,2.759
Africa,Benin,Solar energy,On-grid Solar photovoltaic,2.578
Africa,Botswana,Solar energy,Off-grid Solar photovoltaic,2.761
Africa,Botswana,Solar energy,On-grid Solar photovoltaic,1.946
Africa,Burkina Faso,Bioenergy,Biogas,1
Africa,Burkina Faso,Bioenergy,Liquid biofuels,0.3
Africa,Burkina Faso,Hydropower (excl. Pumped Storage),Renewable hydropower,127.933
Africa,Burkina Faso,Solar energy,Off-grid Solar photovoltaic,43.7
Africa,Burkina Faso,Solar energy,On-grid Solar photovoltaic,9.447
Africa,Burundi,Bioenergy,Solid biofuels,5.788
Africa,Burundi,Hydropower (excl. Pumped Storage),Renewable hydropower,7.979
Africa,Burundi,Hydropower (excl. Pumped Storage),Renewable hydropower,232.357
Africa,Burundi,Solar energy,Off-grid Solar photovoltaic,7.299
Africa,Burundi,Solar energy,On-grid Solar photovoltaic,0.626
Africa,Cabo Verde,Solar energy,Off-grid Solar photovoltaic,0.067
Africa,Cabo Verde,Solar energy,On-grid Solar photovoltaic,9.054
Africa,Cabo Verde,Wind energy,Onshore wind energy,80.231
Africa,Cameroon,Hydropower (excl. Pumped Storage),Renewable hydropower,5089.9
Africa,Cameroon,Solar energy,Off-grid Solar photovoltaic,19.5
Africa,Central African Republic,Hydropower (excl. Pumped Storage),Renewable hydropower,1.3
Africa,Central African Republic,Hydropower (excl. Pumped Storage),Renewable hydropower,134.3
Africa,Central African Republic,Solar energy,Off-grid Solar photovoltaic,0.426
Africa,Chad,Solar energy,Off-grid Solar photovoltaic,0.318
Africa,Chad,Wind energy,Onshore wind energy,8.9
Africa,Congo,Hydropower (excl. Pumped Storage),Renewable hydropower,1241.502
Africa,Congo,Solar energy,Off-grid Solar photovoltaic,0.714
Africa,Côte d'Ivoire,Hydropower (excl. Pumped Storage),Renewable hydropower,2962
Africa,Côte d'Ivoire,Solar energy,Off-grid Solar photovoltaic,6.8
Africa,Democratic Republic of the Congo,Hydropower (excl. Pumped Storage),Renewable hydropower,475.919
Africa,Democratic Republic of the Congo,Hydropower (excl. Pumped Storage),Renewable hydropower,9460
Africa,Democratic Republic of the Congo,Solar energy,Off-grid Solar photovoltaic,26.68
Africa,Djibouti,Solar energy,Off-grid Solar photovoltaic,0.6
Africa,Egypt,Bioenergy,Solid biofuels,304.854
Africa,Egypt,Hydropower (excl. Pumped Storage),Renewable hydropower,12726
Africa,Egypt,Solar energy,Concentrated solar power,483.924
Africa,Egypt,Solar energy,Off-grid Solar photovoltaic,24.96
Africa,Egypt,Solar energy,On-grid Solar photovoltaic,44.129
Africa,Egypt,Wind energy,Onshore wind energy,2334
Africa,Equatorial Guinea,Hydropower (excl. Pumped Storage),Renewable hydropower,127
Africa,Eritrea,Solar energy,Off-grid Solar photovoltaic,19.446
Africa,Eritrea,Wind energy,Onshore wind energy,2
Africa,Eswatini,Bioenergy,Solid biofuels,200.008
Africa,Eswatini,Hydropower (excl. Pumped Storage),Renewable hydropower,3.4
Africa,Eswatini,Hydropower (excl. Pumped Storage),Renewable hydropower,207.8
Africa,Eswatini,Solar energy,Off-grid Solar photovoltaic,1.174
Africa,Eswatini,Solar energy,On-grid Solar photovoltaic,0.105
Africa,Ethiopia,Bioenergy,Solid biofuels,29.498
Africa,Ethiopia,Hydropower (excl. Pumped Storage),Renewable hydropower,12680.954
Africa,Ethiopia,Solar energy,Off-grid Solar photovoltaic,17.624
Africa,Ethiopia,Wind energy,Onshore wind energy,0.011
Africa,Ethiopia,Wind energy,Onshore wind energy,532.513
Africa,Gabon,Bioenergy,Biogas,1.22
Africa,Gabon,Hydropower (excl. Pumped Storage),Renewable hydropower,1.387
Africa,Gabon,Hydropower (excl. Pumped Storage),Renewable hydropower,980.93
Africa,Gabon,Solar energy,Off-grid Solar photovoltaic,1.92
Africa,Gambia,Solar energy,Off-grid Solar photovoltaic,3.192
Africa,Gambia,Solar energy,On-grid Solar photovoltaic,0.28
Africa,Gambia,Wind energy,Onshore wind energy,0.1
Africa,Ghana,Bioenergy,Biogas,0.32
Africa,Ghana,Bioenergy,Solid biofuels,357.423
Africa,Ghana,Hydropower (excl. Pumped Storage),Renewable hydropower,6017
Africa,Ghana,Solar energy,Off-grid Solar photovoltaic,10.622
Africa,Ghana,Solar energy,On-grid Solar photovoltaic,32.8
Africa,Ghana,Wind energy,Onshore wind energy,0.054
Africa,Guinea,Hydropower (excl. Pumped Storage),Renewable hydropower,9.024
Africa,Guinea,Hydropower (excl. Pumped Storage),Renewable hydropower,732
Africa,Guinea,Solar energy,Off-grid Solar photovoltaic,20.47
Africa,Guinea,Solar energy,On-grid Solar photovoltaic,0.123
Africa,Guinea-Bissau,Solar energy,Off-grid Solar photovoltaic,1.889
Africa,Kenya,Bioenergy,Biogas,0.482
Africa,Kenya,Bioenergy,Biogas,0.55
Africa,Kenya,Bioenergy,Solid biofuels,162.873
Africa,Kenya,Geothermal energy,Geothermal energy,5004.757
Africa,Kenya,Hydropower (excl. Pumped Storage),Renewable hydropower,3355.381
Africa,Kenya,Solar energy,Off-grid Solar photovoltaic,72.871
Africa,Kenya,Solar energy,On-grid Solar photovoltaic,1.683
Africa,Kenya,Wind energy,Onshore wind energy,0.062
Africa,Kenya,Wind energy,Onshore wind energy,55.845
Africa,Lesotho,Hydropower (excl. Pumped Storage),Renewable hydropower,0.4
Africa,Lesotho,Hydropower (excl. Pumped Storage),Renewable hydropower,538.274
Africa,Lesotho,Solar energy,Off-grid Solar photovoltaic,0.282
Africa,Lesotho,Solar energy,On-grid Solar photovoltaic,0.48
Africa,Liberia,Hydropower (excl. Pumped Storage),Renewable hydropower,21
Africa,Liberia,Hydropower (excl. Pumped Storage),Renewable hydropower,103
Africa,Liberia,Solar energy,Off-grid Solar photovoltaic,3.624
Africa,Libya,Solar energy,Off-grid Solar photovoltaic,7.791
Africa,Madagascar,Bioenergy,Solid biofuels,0.615
Africa,Madagascar,Hydropower (excl. Pumped Storage),Renewable hydropower,29.974
Africa,Madagascar,Hydropower (excl. Pumped Storage),Renewable hydropower,968.331
Africa,Madagascar,Solar energy,Off-grid Solar photovoltaic,22.555
Africa,Madagascar,Wind energy,Onshore wind energy,0.465
